canal A	canal B	canal C	ABC	AB	AC
59	45	42	0	42	45
44	34	33	0	33	34
47	36	34	0	34	36
70	56	57	0	57	56
52	43	37	0	37	43
42	32	33	0	33	32
62	47	54	0	54	47
68	47	55	0	55	47
58	38	47	0	47	38
65	54	42	0	42	54
52	42	36	0	36	42
61	45	50	0	50	45
72	59	47	0	47	59
59	45	43	0	43	45
53	40	38	0	38	40
62	50	42	0	42	50
52	46	34	0	34	46
75	57	46	0	46	57
69	47	58	0	58	47
76	59	54	0	54	59
71	53	47	0	47	53
66	56	48	0	48	56
76	58	55	0	55	58
66	54	54	0	54	54
65	45	50	0	50	45
55	40	40	0	40	40
52	38	34	0	34	38
79	53	62	0	62	53
66	54	50	0	50	54
57	46	39	0	39	46
64	54	49	0	49	54
60	45	45	0	45	45
73	56	47	0	47	56
55	42	41	0	41	42
55	38	47	0	47	38
64	47	53	0	53	47
46	33	33	0	33	33
75	60	55	0	55	60
63	43	50	0	50	43
53	38	38	0	38	38
57	40	48	0	48	40
77	52	68	0	68	52
76	49	58	0	58	49
60	41	47	0	47	41
55	39	41	0	41	39
53	39	42	0	42	39
47	35	35	0	35	35
69	46	53	0	53	46
68	57	55	0	55	57
74	52	59	0	59	52
66	49	53	0	53	49
63	49	47	0	47	49
76	59	53	0	53	59
77	59	58	0	58	59
68	45	57	0	57	45
70	49	51	0	51	49
71	54	49	0	49	54
53	37	38	0	38	37
72	56	56	0	56	56
67	50	51	0	51	50
78	55	60	0	60	55
70	53	52	0	52	53
61	47	44	0	44	47
54	42	38	0	38	42
71	58	54	0	54	58
62	43	43	0	43	43
65	51	46	0	46	51
58	43	50	0	50	43
63	46	43	0	43	46
64	51	50	0	50	51
63	41	48	0	48	41
62	45	44	0	44	45
53	39	37	0	37	39
59	39	43	0	43	39
67	44	53	0	53	44
57	37	44	0	44	37
62	51	44	0	44	51
70	55	51	0	51	55
45	31	38	0	38	31
58	43	45	0	45	43
54	42	37	0	37	42
58	49	45	0	45	49
62	42	53	0	53	42
57	40	43	0	43	40
69	49	56	0	56	49
47	38	33	0	33	38
66	52	44	0	44	52
51	39	35	0	35	39
67	48	52	0	52	48
65	50	51	0	51	50
50	36	38	0	38	36
66	47	52	0	52	47
55	48	37	0	37	48
70	55	50	0	50	55
66	41	59	0	59	41
68	52	49	0	49	52
58	49	38	0	38	49
62	47	43	0	43	47
70	51	57	0	57	51
58	38	47	0	47	38
51	34	44	0	44	34
56	41	47	0	47	41
56	38	44	0	44	38
68	48	51	0	51	48
56	44	39	0	39	44
63	48	45	0	45	48
63	51	50	0	50	51
54	39	38	0	38	39
73	55	57	0	57	55
66	54	46	0	46	54
70	55	51	0	51	55
53	43	39	0	39	43
67	50	50	0	50	50
68	47	53	0	53	47
66	51	48	0	48	51
61	50	42	0	42	50
62	44	44	0	44	44
81	54	69	0	69	54
65	51	44	0	44	51
64	49	51	0	51	49
45	33	30	0	30	33
60	41	49	0	49	41
46	30	37	0	37	30
62	47	41	0	41	47
72	55	49	0	49	55
57	43	41	0	41	43
67	45	49	0	49	45
62	49	47	0	47	49
58	43	47	0	47	43
76	52	62	0	62	52
66	49	45	0	45	49
50	32	39	0	39	32
53	41	36	0	36	41
67	43	56	0	56	43
65	52	44	0	44	52
55	45	44	0	44	45
65	57	41	0	41	57
71	49	58	0	58	49
73	55	55	0	55	55
59	46	41	0	41	46
55	47	36	0	36	47
54	39	38	0	38	39
